paragraph,label,query,output,error,temporal_relation,,negation,noun event
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",yes,Does ms. salome informing ms. arvan and ms. reed about the situation is simultaneous with her action of advising them?,no,yes,simultaneous,,,
"the new policy, which was facially discriminatory based on age, was approved by the defendants on the executive counsel on or shortly after june 17, at the time the new policy was approved by the executive council, all of the defendants on the executive council planned on retiring at age 65 and, as a result, knew that pantoja was the only member of the executive council that would be adversely affected by the policy. the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda. e. pantojas removal from elected office on april 1, 2022 pursuant to the mandatory retirement policy",no,Does the approval of the new policy precedes the planning to retire at ag?,yes,yes,before,,,x
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",no,Does the parties agreeing to arbitrate the sole issue of the calculation of backpay starts after the settlement agreement is reached?,yes,yes,after,,,
"the plaintiff has exhausted the administrative remedies of the plan. case 1:23-cv-00167-adc document 1 filed 01/23/23 page 6 of 8 7 the plaintiff is entitled to these benefits because the benefits are permitted under the policy issued by the defendants; the plaintiff has satisfied all conditions precedent to be eligible to receive the benefits and plaintiff has not waived or otherwise relinquished the entitlement to the benefits. relief sought the plaintiff requests that this court enter an order declaring the following: this action arises under the employee retirement income security act of 1974 (""erisa""), 29 u.s.c. 1001 et seq. the court has jurisdiction of this case pursuant to 28 u.s.c. 1331, in that this action arises under the laws of the united states. specifically, colleen a. young brings this action to enforce her rights under erisa as authorized by 29 u.s.c. 1132 et seq. usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 1 of 9",yes,Does the plaintiff exhausting the administrative remedies of the plan follows the review of the policy?,no,yes,after,,,x
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",yes,Does the union's act of not providing notice to the hospital regarding any allegation of material breach of the contracts precedes the union continuing to prosecute grievances?,no,yes,before,,x,
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",no,Does the union submitting a grievance over the holiday work requirement precedes the hospital's decision to require employees to work on holidays as per the contracts?,yes,yes,before,,,
"however, after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam, pantoja agreed not to run against defendant cervantes.\ , ""after the election, pantoja formally asked the executive council to place local 2198 under supervision. defendant gst cervantes, through defendant bryant, who was the gvp assigned to assist her, opposed supervision and campaigned to have the executive council case 1:22-cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action. despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198, the executive council rejected pantoja s motion."", ""several months later, pantoja again demanded that the iam take remedial action; and, the executive council finally voted to impose supervision. ultimately, local lodge 2198 filed a 2018 form lm-2 with the u.s. department of labor, in which it acknowledged that there was a shortage attributable to local lodge 2198",yes,Does martinez persuading pantoja not to run against cervantes precedes the event of speaking between martinez and pantoja?,no,yes,before,,x,
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",no,Does ms. arvan walking past the roll tunnel is follows with her observing the floor and the activities happening there?,yes,yes,after,,,
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",yes,Does ms. reed advising ms. salome precedes ms. salome agreeing to ms. reed's advice?,no,yes,before,,,
"on march 27, 2017, defendant caused the plan to lend $2,000 to volk electric, at 4% interest. the note was unsecured and was payable on march 27, on april 27, 2017, defendant caused the plan to lend $14,000 to volk electric, at 4% interest. the note was unsecured and was payable on april 27, on september 26, 2017, defendant caused the plan to lend $3,000 to volk electric, at 4% interest. the note was unsecured and was payable on september 26,",no,"Does the defendant agreeing to lend money to volk electric also follows the lending of $14,000 on april 27,?",yes,yes,after,,,x
