paragraph,label,query,output,error,temporal_relation,paraphrases
"on september 20, 2021, bcbsil reversed its denial of benefits in a letter stating that audrey required the daily skilled nursing services requested and the services requested were covered by the plan. bcbsil then paid some, but not all, of the claims submitted by mr. lou for the period requested from january 22, 2021 through april 30, despite no change in audreys need for daily skilled nursing care and no change in the language of the plan, bcbsil did not pay any claims for daily skilled nursing services rendered to audrey from may 1, 2021 through october 31, bcbsil paid most, but not all, claims submitted for daily skilled nursing services rendered to audrey from november 1, 2021 through december 31,",no,Does bcbsil's statement that audrey required daily skilled nursing services precedes the event of bcbsil reviewing the case?,yes,yes,before,Yes.
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",yes,"Does ms. salome's decision to issue a written warning to rivera follows her action of advising ms. arvan and the company's human resources officer, rachel reed?",no,yes,after,Yes.
"rather than pursue the grievance through the contracts grievance and arbitration procedure, the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work. specifically, prior to the dispute over employees obligation to work holidays, employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work. but once the dispute over holiday work arose, employees stopped picking up shifts beyond their normal scheduled work. after the aforementioned dispute arose, a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating, in part: per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing[.] upon information and belief, the references to ot and st in the text message mean overtime and straight time, respectively. the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations. as a result of the union and its members conduct, the hospital was forced to hire so-called traveler nurses and to pay an extraordinary premium, in the millions of case 3:23-cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars, for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past.",yes,Does employees stopping to pick up shifts beyond their normal scheduled work follows the union's direction to refuse to pick up extra shifts?,no,yes,after,Yes.
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",no,Does rivera telling ms. salome that he did not have time to speak with her is follows with rivera deciding to ignore ms. salome and continue his work?,yes,yes,after,Yes.
"the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages. count i breach of contract section 301 of the lmra, 29 u.s.c. 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays. upon information and belief, the union authorized the union members concerted action of storming meetings and offices during work hours. case 3:23-cv-00466 document 1 filed 04/13/23 page 7 of 10 8",no,Does the union's authorization of the members' refusal to pick up extra shifts on holidays is simultaneous with the members' concerted refusal to work?,yes,yes,simultaneous,Yes.
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",yes,Does the plaintiff action against defendant is precedes with the vacate action on an arbitration award and amended arbitration award?,No,yes,before,Yes.
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",no,Does the union submitting a grievance over the holiday work requirement precedes the hospital's decision to require employees to work on holidays as per the contracts?,yes,yes,before,Yes.
"the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations, and at all times relevant to this complaint, the union has continued to prosecute grievances and other rights under the contracts. case 3:23-cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that, because the hospital must remain open all days of the year, employees may be required to work on holidays on the terms and conditions described in the contracts. the hospital has at all times abided by these requirements in the contracts. the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts. the union submitted a grievance over that issue, but did not pursue it.",no,Does the union continuing to prosecute grievances and other rights under the contracts happens follows with the hospital remaining open all days of the year?,yes,yes,after,Yes
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",yes,"Does union members engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage is precedes with the hospital seeking damages as a direct and proximate result of the union's actions?",no,yes,before,Yes.
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",no,Does initiating a grievance follows the pending arbitration of the january 8 grievance?,yes,yes,after,No.
