1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect (have agreed)""","""no""","the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits , or any benefit exclusively reserved to administration under the plan , to retirees .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""January 8""]","""Present""","""Simple""","""no""","this court has the authority to determine the rights of the parties in connection with their dispute , namely whether the january 8 grievance should be arbitrated or pursued through the plan .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""January 8""]","""present""","""progressive (is currently pending)""","""yes""",", "" this dispute is ripe for adjudication , as the january 8 grievance is currently pending to be arbitrated .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""have agreed (perfect aspect)""","""yes""",the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","[""directed"", ""refuse""]","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""would regularly - modal with habitual aspect""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""arose"", ""stopped""]","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""no""","""yes""","""no""","""no""","""no""","[""end of May"", ""the first 2 weeks of June""]","""present""","[""still are not allowing"", ""should be giving back"", ""are asking""]","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""Yes""","""Yes""","""Yes""","""Yes""","""Yes""","""No""","""No""","""Yes""","""No""","[""04/13/23""]","""Past""","[""was forced (past, indicative)""]","""No""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""present perfect aspect""","""no""","the union has not provided any notice to the hospital regarding any allegation by the union that the hospital is in material breach of the contracts thereby excusing the union from further performance of its obligations , and at all times relevant to this complaint , the union has continued to prosecute grievances and other rights under the contracts .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","[""04/13/23""]","""present""","""may (modal verb indicating possibility)""","""yes""","case 3:23 - cv-00466 document 1 filed 04/13/23 page 4 of 10 5 illegal work stoppage concerning holiday obligations the contracts provide that , because the hospital must remain open all days of the year , employees may be required to work on holidays on the terms and conditions described in the contracts .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfective""","""no""",the hospital has at all times abided by these requirements in the contracts .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],,"""none""","""no""",the union disagreed with the hospitals conclusion that employees can be required to work holidays under the terms of the contracts .,"""past""",,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","the union submitted a grievance over that issue , but did not pursue it .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none specifically indicated""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""habitual (would regularly)""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""No""","""Yes""","""Yes""","""Yes""","""No""","""Yes""","""No""","""No""","""No""","[""the end of May"", ""the first 2 weeks of June""]","""Present [e.g., are asking, are not allowing]""","""Progressive aspect [e.g., are asking, still are not allowing]""","""Yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""null""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""",,"""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""Yes""","""No""","""Yes""","""No""","""Yes""","""No""","""No""","""Yes""","""No""",,"""Past""",,"""No""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""present""",[],"""no""","the pension plan is a tax - qualified , defined benefit pension plan covered under title iv of erisa .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""March 2022"", ""2018""]","""past""","""perfect""","""no""","in march 2022 , as a result of a pbgc premium filing review , pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding , pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan , pursuant to the authority granted to pbgc under 29 u.s.c . 1303(a ) .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""11/17/22""]","""none""","""none""","""no""",case 2:22 - cv-04603 document 1 filed 11/17/22 page 4 of 47 5,,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""",ms . reed advised ms . salome to issue the written discipline and to speak with rivera ( as well as the other roll tunnel operators ) regarding the defaced guidelines .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple aspect""","""no""","accordingly , ms . salome , along with clint kelch ( the union steward ) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""none""","""no""",rivera was on his clamp truck and ms . salome advised that rivera that she needed to speak with him .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","[""past continuous""]","""no""","without stopping , rivera told her that he did not have time to speak with her ( his own supervisor ) because he was working and drove by her .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""simple""","""no""",ms . reed advised ms . salome to issue the written discipline and to speak with rivera ( as well as the other roll tunnel operators ) regarding the defaced guidelines .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","accordingly , ms . salome , along with clint kelch ( the union steward ) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines .",,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""Yes""","""No""","""Yes""",[],"""Past (was, needed)""","""Simple aspect""","""No""",rivera was on his clamp truck and ms . salome advised that rivera that she needed to speak with him .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""none""","""no""","without stopping , rivera told her that he did not have time to speak with her ( his own supervisor ) because he was working and drove by her .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""Past""","""Simple""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive (was picking)""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""yes""","""no""","[""04/04/22""]","""past""","""progressive (trying)""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","[""should (modal marker)""]","""yes""","ms . arvan advised rivera that he should not be pushing rolls , that his conduct was unsafe and that he could get hurt .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",she advised him that he needed to use a roll pusher .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""simple past""","""none""","""no""","when ms . arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher , he became more agitated and disrespectful and rolled his eyes at ms . arvan .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""imperative""","""none""","""no""","ms . arvan said , do nt roll your eyes at me .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""Past""","""none""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
,,,,,,,,,,,,,"specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""completed action""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","[""May"", ""June""]","""past and future""","""no explicit markers""","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","[""perfect""]","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""past""","[""perfect""]","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 17""]","""past""","[""was approved - perfective aspect"", ""planned - perfective aspect"", ""knew - perfective aspect""]","""no""","the new policy , which was facially discriminatory based on age , was approved by the defendants on the executive counsel on or shortly after june 17 , at the time the new policy was approved by the executive council , all of the defendants on the executive council planned on retiring at age 65 and , as a result , knew that pantoja was the only member of the executive council that would be adversely affected by the policy .",,,,,,,,
"""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""",[],"""past""","""was aimed (past progressive)""","""no""",the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""April 1, 2022""]","""past""","""simple""","""no""","e. pantojas removal from elected office on april 1 , 2022 pursuant to the mandatory retirement policy",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""habitual (would regularly)""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""yes""","""yes""","""no""",,,"""no""","""yes""","[""end of May"", ""first 2 weeks of June""]","""present""","""progressive (are asking), future modal (should be giving), negation (not allowing)""","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,"""yes""","""no""",,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""perfect ('has caused')""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""no""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""past""","""was forced (perfective)""","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""none""","""no""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","[""08/22/22""]","""past tense""","""no particular aspectual markers identified beyond simple aspects of the verbs used""","""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .",,,,,,,,
