1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,6. Events in direct speech,7. Events in indirect speech,11. Tense of the verbs,12. Aspectual markers,4. Events that are in a condition,"12. Aspectual markers of the verbs"": {""was"
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""",[],"""no""",Clayton was grateful and actually kind of impressed. ,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""",Samantha really needed a haircut but did n't have much money.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""no specific markers noted""","""no""","She asked her parents, but they did n't have much money either. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""yes""",She came up with an idea to raffle off her radio at school.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",She sold 85 tickets at a quarter a piece.,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""Past""","""None""","""no""","It was just enough for a haircut, and now she looks swell!  ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",Cammie lost a $ 50 bill somewhere.,,,,,,
"""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""",[],"""past""","""perfective""","""no""","She was so upset, she almost cried. ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""the next day""","""past tense""","""aspectual marker 'found' indicating perfective aspect""","""no""","Then, the next day, doing laundry, she found it! ",,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""",,"""No""","It was wet, wrinkled, and clean in the washer! ",,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""",Cammie was elated! ,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Progressive Aspect (was trying)""","""No""",Susie was trying to find her way home.,,,,,,
