paragraph,TR_entailment,label,error (temporal/events),readability (1-4),relevance (1-4),event type (implicit/explicit),relevant/irrelevant context paragraph,NOTES
"despite no change in audreys need for daily skilled nursing services and no change in the language of the plan, after january 22, 2021 bcbsil began denying mr. lous claims for audreys care. on february 16, 2021, bcbsil denied mr. lous request for benefits for the period from january 28, 2021 through april 30, as grounds for denying the benefits, bcbsils denial letter stated only that [b]ased on your plan, our records show that the proposed services are not a covered benefit. because of this, any claims for these services would not be eligible for reimbursement. on april 13, 2021, maxim healthcare services (maxim), the provider of skilled nursing services to audrey, submitted an administrative appeal of bcbsils claim denial on mr. lous behalf. in support of its appeal, maxim submitted letters of medical necessity from dr. john takayama, audreys primary care physician, and dr. ngoc ly, audreys pulmonologist and chief of pediatric pulmonology at ucsf benioff childrens hospital. the letters both (1) established audreys ongoing need for daily skilled nursing care; and (2) evidenced the fact that audreys need for daily skilled nursing care had not changed nor diminished over the period for which claims were submitted. mr. lou and his wife also personally attested to audreys ongoing need for daily medical assessment and skilled nursing care in support of the appeal. maxim also submitted extensive nursing care documentation evidencing audreys need for daily skilled nursing care.",BCBSIL began denying Mr. Lou's claims for Audrey's care after there was no change in Audrey's need for daily skilled nursing services.,entailment,,4,4,both-explicit,,
"despite no change in audreys need for daily skilled nursing services and no change in the language of the plan, after january 22, 2021 bcbsil began denying mr. lous claims for audreys care. on february 16, 2021, bcbsil denied mr. lous request for benefits for the period from january 28, 2021 through april 30, as grounds for denying the benefits, bcbsils denial letter stated only that [b]ased on your plan, our records show that the proposed services are not a covered benefit. because of this, any claims for these services would not be eligible for reimbursement. on april 13, 2021, maxim healthcare services (maxim), the provider of skilled nursing services to audrey, submitted an administrative appeal of bcbsils claim denial on mr. lous behalf. in support of its appeal, maxim submitted letters of medical necessity from dr. john takayama, audreys primary care physician, and dr. ngoc ly, audreys pulmonologist and chief of pediatric pulmonology at ucsf benioff childrens hospital. the letters both (1) established audreys ongoing need for daily skilled nursing care; and (2) evidenced the fact that audreys need for daily skilled nursing care had not changed nor diminished over the period for which claims were submitted. mr. lou and his wife also personally attested to audreys ongoing need for daily medical assessment and skilled nursing care in support of the appeal. maxim also submitted extensive nursing care documentation evidencing audreys need for daily skilled nursing care.",Mr. Lou realized the change in BCBSIL's approach to covering Audrey's skilled nursing services after BCBSIL denied his claims.,entailment,,4,4,one-implicit-one-explicit,,
"despite no change in audreys need for daily skilled nursing services and no change in the language of the plan, after january 22, 2021 bcbsil began denying mr. lous claims for audreys care. on february 16, 2021, bcbsil denied mr. lous request for benefits for the period from january 28, 2021 through april 30, as grounds for denying the benefits, bcbsils denial letter stated only that [b]ased on your plan, our records show that the proposed services are not a covered benefit. because of this, any claims for these services would not be eligible for reimbursement. on april 13, 2021, maxim healthcare services (maxim), the provider of skilled nursing services to audrey, submitted an administrative appeal of bcbsils claim denial on mr. lous behalf. in support of its appeal, maxim submitted letters of medical necessity from dr. john takayama, audreys primary care physician, and dr. ngoc ly, audreys pulmonologist and chief of pediatric pulmonology at ucsf benioff childrens hospital. the letters both (1) established audreys ongoing need for daily skilled nursing care; and (2) evidenced the fact that audreys need for daily skilled nursing care had not changed nor diminished over the period for which claims were submitted. mr. lou and his wife also personally attested to audreys ongoing need for daily medical assessment and skilled nursing care in support of the appeal. maxim also submitted extensive nursing care documentation evidencing audreys need for daily skilled nursing care.","Maxim Healthcare Services submitted an administrative appeal on Mr. Lou's behalf after BCBSIL denied Mr. Lou's request for benefits for the period from January 28, 2021 through April ",entailment,,4,4,both-explicit,,
"the pension plan is a tax-qualified, defined benefit pension plan covered under title iv of erisa. in march 2022, as a result of a pbgc premium filing review, pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding, pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan, pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). case 2:22-cv-04603 document 1 filed 11/17/22 page 4 of 47 5",Safety Light's neglect of their payment responsibilities precedes their failure to pay pension plan premiums.,entailment,,4,4,one-implicit-one-explicit,,
"the pension plan is a tax-qualified, defined benefit pension plan covered under title iv of erisa. in march 2022, as a result of a pbgc premium filing review, pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding, pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan, pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). case 2:22-cv-04603 document 1 filed 11/17/22 page 4 of 47 5",Safety Light's neglect of their payment responsibilities precedes their failure to make required pension plan contributions.,entailment,,4,4,one-implicit-one-explicit,,
"the pension plan is a tax-qualified, defined benefit pension plan covered under title iv of erisa. in march 2022, as a result of a pbgc premium filing review, pbgc discovered that safety light has failed to pay required pension plan premiums since 2018 and has also failed to make required pension plan contributions since in response to this finding, pbgc commenced an investigation into safety lights failure to make necessary payments to the pension plan, pursuant to the authority granted to pbgc under 29 u.s.c. 1303(a). case 2:22-cv-04603 document 1 filed 11/17/22 page 4 of 47 5","The failure to pay pension plan premiums happens simultaneous with the failure to make required pension plan contributions, both following Safety Light's neglect of their payment responsibilities.",entailment,,4,2,both-explicit,,
"defendant, iom health systems, who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard, franklin, tennessee 37067 and whose registered agent is corporation service company of america with a usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street, suite 1610, indianapolis, indiana, it is believed that this defendant conducts business throughout the united states, including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff. defendant, unum group formerly unum provident corporation, is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square, chattanooga, tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue, nashville, tennessee",Defendant conducting business in the Northern District of Indiana precedes the employment of the plaintiff by the defendant.,entailment ,,4,3,both-explicit,,
"defendant, iom health systems, who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard, franklin, tennessee 37067 and whose registered agent is corporation service company of america with a usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street, suite 1610, indianapolis, indiana, it is believed that this defendant conducts business throughout the united states, including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff. defendant, unum group formerly unum provident corporation, is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square, chattanooga, tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue, nashville, tennessee",The plaintiff residing in the Northern District of Indiana is simultaneous with the defendant conducting business there.,entailment ,,4,3,both-explicit,,
"defendant, iom health systems, who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard, franklin, tennessee 37067 and whose registered agent is corporation service company of america with a usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street, suite 1610, indianapolis, indiana, it is believed that this defendant conducts business throughout the united states, including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff. defendant, unum group formerly unum provident corporation, is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square, chattanooga, tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue, nashville, tennessee",The employment of the plaintiff by the defendant follows the defendant conducting business in the Northern District of Indiana.,entailment ,,4,3,both-explicit,,
"on october 19, 2021 maxim submitted a claim on behalf of albert lou for daily skilled nursing services rendered to audrey from may 1, 2021 case 3:22-cv-03091 document 1 filed 05/26/22 page 6 of 17 lou v. accenture u.s. group health plan, et al., complaint 7 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 through december 31, on november 2, 2021 bcbsil denied the claim, stating only that the services requested were not a covered benefit despite the fact that there was no change in audreys need for daily skilled nursing care and no change in the language of the plan, and despite the fact that bcbsil had just determined a month prior that the services rendered to audrey were covered by the plan and that audrey required daily skilled nursing services. on november 5, 2021, maxim appealed bcbsils denial of benefits dated november 2,",Maxim submitting a claim on behalf of Albert Lou for daily skilled nursing services rendered to Audrey precedes BCBSIL denying the claim.,entailment ,,4,4,both-explicit,,
