paragraph,label,pair_type,TR
"defendant, iom health systems, who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard, franklin, tennessee 37067 and whose registered agent is corporation service company of america with a usdc in/nd case 1:24-cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street, suite 1610, indianapolis, indiana, it is believed that this defendant conducts business throughout the united states, including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff. defendant, unum group formerly unum provident corporation, is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square, chattanooga, tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue, nashville, tennessee",entailment,both-explicit,Does defendant conducting business in the northern district of indiana precedes the employment of the plaintiff by the defendant?
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",entailment,both-explicit,"Does trachte receiving the amended award on december 11 follows trachte receiving the initial award on december 1,?"
", ""the complaint attached as exhibit 1 on its face, or within its four corners, meets the good cause standard described above. giving specific examples, the complaint sets out the spurious reasons for this repeated first-class air travel houston at iam expenses. none of the casual, often vague reasons explain why such travel had anything to do with her official responsibilities as the second highest ranking union officer, in charge of the iam financial affairs. and the conduct here is especially egregious because, under the iam constitution, she case 8:24-cv-00454-dkc document 1 filed 02/15/24 page 4 of 8 5 has a special obligation as general secretary treasurer to protect the union treasury and the membership from such misappropriation. among other purposes for this travel, defendant cervantes has nothing to do with collective bargaining, has no need to attend the local meetings, has no need to attend local get out the vote drives, has no need to engage in membership training, and especially has no need to do it in houston and nowhere else. upon becoming an international officer of iam, cervantes was moved at considerable iam expense to upper marlboro, maryland, where the iam has its headquarters. for iam accounting purposes, her official domicile is upper marlboro, maryland. even if her immediate family is in houston, texas, she is supposed to travel there on her own time and only at her own expense. the applicant sandra gardner learned of the misuse of union funds only in march 2021, when sito pantoja, the iam vice president at the time, obtained copies of her weekly expense reports from 2015 through united states district court for the district of connecticut women &amp; infants hospital of rhode island, plaintiff, vs. c.a. no. new england health care employees union, district 1199, seiu, defendant. women &amp; infants hospitals complaint pursuant to section 301 of the labor management relations act of 1947 (the lmra), 29 u.s.c. 185, women &amp; infants hospital of rhode island (the hospital) brings this complaint against new england health care employees union, district 1199, seiu (the union) seeking damages as a direct and proximate result of the union inducing, encouraging, and directing union members employed by the hospital to violate the parties collective bargaining agreements by engaging in a partial or complete cessation of work, strike, slowdown, or work stoppage, in addition to declaratory and injunctive relief. the union has engaged in such conduct beginning in may 2022 and as recently as march 15,"",  venue is proper in this court because the union maintains a principal office in and regularly transacts business in the district of connecticut. the duly authorized officers and case 3:23-cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut. parties",entailment,both-explicit,Does the misuse of union funds precedes the attachment of the complaint as exhibi?
"the new policy, which was facially discriminatory based on age, was approved by the defendants on the executive counsel on or shortly after june 17, at the time the new policy was approved by the executive council, all of the defendants on the executive council planned on retiring at age 65 and, as a result, knew that pantoja was the only member of the executive council that would be adversely affected by the policy. the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda. e. pantojas removal from elected office on april 1, 2022 pursuant to the mandatory retirement policy",entailment,both-explicit,Does planning to retire at age 65 precedes the approval of the new policy?
"the new policy, which was facially discriminatory based on age, was approved by the defendants on the executive counsel on or shortly after june 17, at the time the new policy was approved by the executive council, all of the defendants on the executive council planned on retiring at age 65 and, as a result, knew that pantoja was the only member of the executive council that would be adversely affected by the policy. the new policy was aimed at removing pantoja because he had exercised his right to free speech under the lmrda. e. pantojas removal from elected office on april 1, 2022 pursuant to the mandatory retirement policy",entailment,both-explicit,Does pantoja's removal from elected office follows the approval of the new policy by the defendants?
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",entailment,both-explicit,Does the district court granting the union's summary judgment motion and denying cdrt's appeal precedes the company and the union entering a settlement agreement?
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",entailment,both-explicit,Does the union representative engaging in physically intimidating conduct precedes the hospital limiting the union representative's access to the hospital?
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",entailment,both-explicit,Does the union representative engaging in physically intimidating conduct precedes the hospital limiting the union representative's access to the hospital?
"as part of its investigation, pbgc requested by letter dated march 9, 2022, that safety light provide to pbgc certain documents and information relating to the plan and the financial condition of safety light (information request letter). pbgc sent the information request letter via electronic mail to silverthorn. see exhibit c. case 2:22-cv-04603 document 1 filed 11/17/22 page 10 of 47 3 on april 12, 2022, pbgc issued a subpoena to safety light under 29 u.s.c. 1303(b) requiring production of the previously requested documents and information on or before may 3, 2022 (safety light subpoena). see exhibit e. respondents failed to respond to the safety light subpoena within the time prescribed. however, on may 4, 2022, after an email following up on the safety light subpoena, silverthorn requested an extension to respond until the end of may. pbgc agreed to the extension, with the understanding that documents would be provided on a rolling basis. respondents did not meet this new deadline nor communicate with pbgc in the interim.",entailment,both-explicit,Does silverthorn's request for an extension follows pbgc's follow-up email regarding the safety light subpoena?
"as mentioned above, scvs billed charges for the subject medical case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 9 of 31 pageid 9 10 services rendered to r.c. totaled $401, 00, and a claim package was submitted to uhc relating to same shortly after the subject procedure. see ex. e. the scv cover letter to its claim submission packet (see ex. e) makes specific reference to scvs appropriate expectation that claim payment would unfold pursuant to the preferred medical claim solutions (pmcs) (see ex. c) that existed (not some unknown uhc re-pricing contract that defendants would eventually unilaterally employ), which, again, such re-pricing contract (even the yet discovered re-pricing contract / formula / program that defendants employed) is separate and distinct from the plan document (exhibit a); i.e., again, resolution of counts ii-iv (which hinge on the appropriate re-pricing mechanism) will require little (if any) reference to exhibit a and certainly not a substantive reference to / interpretation of exhibit a, which such substantive reference / interpretation of a plan document (rather than a cursory glance at a plan document, as might be required here) in order to resolve a rate of payment dispute is what would militate toward relation to defensive erisa preemption. at all material times, uhc was in agreement with pmcs (as uhcs affiliate and / or subcontractor and / or vendor and / or agent and / or the like) to secure discounted rates from providers (like scv), which were secured here in relation to scv.7 7again, a copy of the pertinent pages of the pmcs re-pricing contract that was procured on uhcs behalf (along with the pmcs client list listing uhc) is attached hereto as exhibit c. again, exhibit c is incorporated fully herein by reference. again, scv made clear its expectation that the claim would be priced pursuant to this pmcs contract / agreement that were brokered by uhc with pmcs being uhcs vendor, agent, or the like tasked with achieving discounted rates from case 6:22-cv-00236-wwb-ejk document 1 filed 02/03/22 page 10 of 31 pageid 10 11",entailment,both-explicit,Does scv's expectation that the claim would be priced pursuant to the pmcs contract comes after the establishment of the agreement between uhc and pmcs to secure discounted rates?
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",entailment,both-explicit,Does ms. salome verbally counseling rivera happens before her decision to issue a written warning?
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",entailment,both-explicit,Does the union representative engaging in physically intimidating conduct precedes the hospital limiting the union representative's access?
"in february of 2023, a union representative engaged in physically intimidating conduct with a hospital manager. in response to the incident, the hospital limited the union representatives access to the hospital. the union disputed this response. rather than pursue a grievance regarding the aforementioned response through the contracts grievance and arbitration procedure, the union engaged in a work stoppage that included approximately 100 employees. many of these employees were on-duty and ceased doing work during working hours. in other instances, including as recently as march 2023, union representatives and union employees have engaged in work stoppages and stormed meetings and offices. for example, on or about march 15, 2023, union representatives incited a work stoppage on the case 3:23-cv-00466 document 1 filed 04/13/23 page 6 of 10 7 mother baby unit of the hospital during work hours, rather than engage in the grievance and arbitration process as required by the contracts.",entailment,both-explicit,Does the hospital limiting the union representative's access to the hospital is followed by the union disputing this response?
