paragraph,label,pair_type,TR
"ms. reed advised ms. salome to issue the written discipline and to speak with rivera (as well as the other roll tunnel operators) regarding the defaced guidelines. accordingly, ms. salome, along with clint kelch (the union steward) approached rivera to present him with the disciplinary warning and to discuss the defacement of the posted guidelines. rivera was on his clamp truck and ms. salome advised that rivera that she needed to speak with him. without stopping, rivera told her that he did not have time to speak with her (his own supervisor) because he was working and drove by her.",entailment,one-implicit-one-explicit,Does ms. reed learning about the defaced guidelines precedes her advising ms. salome to issue the written discipline?
"the parties have not agreed to empower arbitrators to establish or enforce supplemental early retirement benefits, or any benefit exclusively reserved to administration under the plan, to retirees. this court has the authority to determine the rights of the parties in connection with their dispute, namely whether the january 8 grievance should be arbitrated or pursued through the plan. , ""this dispute is ripe for adjudication, as the january 8 grievance is currently pending to be arbitrated. the parties have agreed to stay the arbitration pending the final disposition of this action in the united states courts.",entailment,one-implicit-one-explicit,Does the january 8 grievance pending to be arbitrated follows the filing of a dispute?
"the union members concerted refusal to work is a violation of the contracts and interfered with patient care and caused the hospital damages. count i breach of contract section 301 of the lmra, 29 u.s.c. 185 the union authorized the union members concerted refusal to pick up extra shifts on holidays. upon information and belief, the union authorized the union members concerted action of storming meetings and offices during work hours. case 3:23-cv-00466 document 1 filed 04/13/23 page 7 of 10 8",entailment,one-implicit-one-explicit,Does the union members' concerted refusal to work precedes the hospital being notified about their actions?
", ""on or about february 19, 2021, defendants martinez, allen, blondin, wallace, bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website. in the letter, defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign, defendant richard johnsen, who had been promoted to be defendant ip martinezs chief of staff, stated that pantoja would be removed from his position as gvp-transportation because of his opposition to defendant cervantes. on or about march 19, 2021, the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",entailment,one-implicit-one-explicit,Does discussing the letter content precedes the defendants signing the letter endorsing defendant cervantes?
"plaintiff, trachte building systems, inc. (trachte) brings this action against defendant sheet metal air, rail and transportation workers local 565 (local 565) to vacate an arbitration award (award) and amended arbitration award (amended award) entered in smart local 565 v. trachte building systems, inc., case id trachte is an employer within the meaning of the lmra, 29 u.s.c. 152(2), and is engaged in commerce or an industry affecting commerce within the meaning of 29 u.s.c. 152(6) and (7). trachte is a wisconsin corporation engaged in the design, manufacture, and erection of durable, pre-engineered, and customized steel self-storage systems. its headquarters are located at 314 wilburn road, sun prairie, wisconsin, 53590, and its operations include a production plant in sun prairie, wisconsin (the sun prairie plant). case: 3:24-cv-00018 document #: 1 filed: 01/11/24 page 1 of 6 2 13, which requires a party challenging an arbitration award in wisconsin to file such challenge within 3 months after the award is filed or delivered. trachte received the award on december 1, 2023, and the amended award on december 11,",entailment,one-implicit-one-explicit,Does trachte and local 565 reaching an agreement on the collective bargaining agreement precedes the plaintiff action against defendant?
", ""on or about february 19, 2021, defendants martinez, allen, blondin, wallace, bryant and galloway signed a letter endorsing defendant cervantes that cervantes posted on her campaign website. in the letter, defendants make clear that they believed that pantoja orchestrated andermans nomination and stated that pantojas actions in endorsing anderman threatens to tear our union apart at a time when our members during the campaign, defendant richard johnsen, who had been promoted to be defendant ip martinezs chief of staff, stated that pantoja would be removed from his position as gvp-transportation because of his opposition to defendant cervantes. on or about march 19, 2021, the iam provided some of the documents pantoja requested in redacted form and withheld a number of the requested weekly expense reports.\",entailment,one-implicit-one-explicit,Does writing the letter precedes the defendants signing the letter endorsing defendant cervantes?
"on november 25, 2020, the district court granted the unions summary judgment motion and denied cdrts. cdrt subsequently appealed the matter to the united states court of appeals for the sixth circuit (no. 20-6425). on september 17, 2021, however, the company and the union entered a settlement agreement that resolved the appeal. the settlement agreement is attached as exhibit d. in the settlement agreement, the parties agreed that they would arbitrate the sole issue of the calculation of backpay, as that remedy is referred to and defined in the july 24, 2019 opinion and award of arbitrator mark c. travis. they further agreed that this arbitration would be before arbitrator travis. case 3:22-cv-00386-rgj document 1 filed 07/27/22 page 4 of 9 pageid #: 4 5 the remedy award",entailment,one-implicit-one-explicit,Does the company and the union experiencing a dispute precedes the district court granting the union's summary judgment motion?
"less than 3 months have passed since the award and the amended award were delivered. true and accurate copies of the award and the amended award are attached as exhibits 1 and trachte and local 565 are parties to a collective bargaining agreement (the cba) covering employees represented by local 565 at the sun prairie plant. a true and accurate copy of the cba is attached as exhibit article 9, section 1 of the cba outlines a four-step procedure to resolve grievances. if a grievance has not been resolved by the time the four-step process is exhausted, then the grievance may be appealed to arbitration. for grievances involving a termination, the cba provides the grievance process starts at step",entailment,one-implicit-one-explicit,Does the attachment of true and accurate copies of the award and amended award follows their creation?
"in addition to posting the guidelines, ms. salome had several conversations with rivera regarding the need to store the rolls with the labels right side up. nevertheless, in spite of those discussions, rivera continued to store the rolls with the labels upside down. ms. salome verbally counseled rivera regarding his failure to properly store the rolls. in spite of that verbal counseling, rivera ignored ms. salome and continued to store the rolls upside down. as a result, on may 6, 2021, ms. salome decided to issue rivera a written warning and advised ms. arvan as well as the companys human resources officer, rachel reed. ms. salome and ms. reed prepared the written warning. prior to issuing the written warning, on may 11, 2021, ms. salome noticed that someone defaced the storing guidelines that she had posted. indeed, one of the employee wrote the words wha, wha, wha on the posted case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 5 of 16 pageid #: 109 6 guidelines. ms. salome, who was very familiar with riveras handwriting (because she reviewed it daily), believed rivera defaced the picture. accordingly, she took a picture of the defaced guidelines and forwarded the same to ms. arvan and ms. reed.",entailment,one-implicit-one-explicit,Does ms. salome verbally counseling rivera precedes her determination that verbal counseling was insufficient?
"approximately one month later, in june 2021, ms. arvan went out onto the floor and walked past the roll tunnel. as she did so, she noticed that rivera was pushing the rolls of paper (which weigh thousands of pounds) with his hands. ms. arvan, consistent with the the companys requirement that managers intervene when they observe unsafe behavior, approached rivera to address his unsafe conduct. ms. arvan told rivera that the rolls were too heavy to be pushed with his hands. he responded that she was picking on him. ms. arvan said no, she was simply trying to have a case: 1:22-cv-00174-sjd doc #: 4 filed: 04/04/22 page: 7 of 16 pageid #: 111 8 safety discussion with him. ms. arvan advised rivera that he should not be pushing rolls, that his conduct was unsafe and that he could get hurt. she advised him that he needed to use a roll pusher. when ms. arvan advised him that the roll actually weighed 3,700 pounds and that he needed to use a roll pusher, he became more agitated and disrespectful and rolled his eyes at ms. arvan. ms. arvan said, dont roll your eyes at me.",entailment,one-implicit-one-explicit,Does ms. arvan walking past the roll tunnel is simultaneous with her observing the floor and the activities happening there?
